cdi-a02sapdb001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a02sapfio001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a02sappdf001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a02sapwebd001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a04sapas001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a04sapcs001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a04sapfio001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a04sapwebd001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a06sapas001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a06sapcs001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a06sapfio001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a06sapdb001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a06sappdf001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a06sapwebd001;Suse;SLES_SAP 12.4;[u'sudo-1.8.27-4.6.1.x86_64']
cdi-a01mnhapp001;RedHat;RedHat 6.10;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-a01mnhora004;RedHat;RedHat 7.4;[u'sudo-1.8.23-10.el7_9.1.x86_64']
cdi-a01mnhora005;RedHat;RedHat 7.4;[u'sudo-1.8.23-10.el7_9.1.x86_64']
cdi-a01mnhora006;RedHat;RedHat 7.4;[u'sudo-1.8.23-10.el7_9.1.x86_64']
cdi-aa01srvoidl001;RedHat;RedHat 7.5;[u'sudo-1.8.23-10.el7_9.1.x86_64']
cdi-aa01srvoidl002;RedHat;RedHat 7.5;[u'sudo-1.8.23-10.el7_9.1.x86_64']
cdi-ldc-a01mnhapp003;RedHat;RedHat 6.10;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-ldc-a01mnhapp004;RedHat;RedHat 6.3;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-ldc-a01mnhdom003;RedHat;RedHat 6.3;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-ldc-a01mnhdom004;RedHat;RedHat 6.3;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-ldc-a01mnhife003;RedHat;RedHat 6.3;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-ldc-a01mnhife004;RedHat;RedHat 6.3;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-ldc-a01mnhweb003;RedHat;RedHat 6.3;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
cdi-ldc-a01mnhweb004;RedHat;RedHat 6.3;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
